"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","3.400699","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","9.973810","0","9"
"/Game/Assets/Characters/Materials/Franklin/M_hat.M_hat","0","6","6","1","6.540185","0","6"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","30","35","1","25.633837","0","35"
"/Game/Assets/Models/Meshes/standardSurface1.standardSurface1","0","3","3","1","2.489371","0","3"
"/Game/Assets/Models/Meshes/lambert5.lambert5","0","3","3","1","2.474952","0","3"
"/Game/Assets/Models/Meshes/lambert4.lambert4","0","3","3","1","2.008926","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","4.458863","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","3.260704","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.732969","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","12.048395","0","14"
"","0","1","0","1","0.000000","3","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","731.206665","0","88"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","21.684113","0","14"
"/Game/Assets/Models/MeshMats/lambert12.lambert12","0","3","3","1","3.508741","0","3"
"/Game/Assets/Models/MiscMats/grassPatchy/M_grass.M_grass","0","14","14","2","23.528666","11","36"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","60.219299","0","42"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","9.197435","0","7"
